Data,Hora,Preco,Tipo
2025-09-05,09:00,5482.86,AJUSTE
2025-09-05,09:00:58,5468,JABULANI_C
2025-09-05,09:01,5468,POC_COMPRA
2025-09-05,09:03,5469,POC_VENDA
2025-09-05,09:05:26,5467,JABULANI_V
2025-09-05,09:12,5458.5,POC_COMPRA
2025-09-05,09:30,5436,POC_COMPRA
2025-09-05,09:30:18,5437,JABULANI_C
2025-09-05,09:31,5434,POC_VENDA
2025-09-05,09:31:56,5433,JABULANI_V
2025-09-05,09:35:40,5438.5,JABULANI_C
2025-09-05,09:43,5439,POC_VENDA
2025-09-05,09:43:05,5438.5,JABULANI_V
2025-09-05,09:57,5439.5,POC_COMPRA
2025-09-05,10:07,5430.5,POC_COMPRA
2025-09-05,10:08:27,5432,JABULANI_C
2025-09-05,10:15,5429.5,POC_VENDA
2025-09-05,10:24:16,5429,JABULANI_V
2025-09-05,10:55,5419.5,POC_COMPRA
2025-09-05,11:11:52,5422.5,JABULANI_C
2025-09-05,11:52:42,5445,JABULANI_V
2025-09-05,11:52,5445,POC_VENDA
